 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços hospitalares por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Ago/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"Total"
"43 Rio Grande do Sul";25625523,90;47338004,76;42190539,24;46722615,35;39861026,03;43202988,71;46795461,51;46294011,74;45765976,58;44257451,29;44480836,14;48392427,40;47763243,83;48494113,14;52189959,37;51166139,94;50821680,16;51511798,17;53366280,73;55365370,34;55145568,53;54511185,98;52762598,47;53292033,95;54974348,89;50953762,87;51492824,75;55190844,99;56085574,65;53538998,54;56748118,35;56935146,89;54951105,44;55594314,88;55446174,63;54895167,63;49583228,09;47790581,60;53946416,12;50210934,50;54530747,92;59699185,81;60827556,38;55265292,76;57301969,75;57451942,27;59477934,53;53027498,77;50321615,97;53259984,93;60625260,62;55082954,39;58607226,57;62870951,75;63601505,12;62922319,88;57322652,45;53001354,39;62002415,49;52166210,28;60830173,84;58127459,87;67044018,35;67449467,77;69939348,81;61316733,84;69869240,99;70448235,94;64420465,85;66421902,09;64186915,85;64523962,78;63607457,86;63643844,08;64098577,77;67251279,80;68318691,78;69417196,00;73185382,35;72791467,43;71721733,70;75937320,85;70869390,36;67844100,01;69041613,72;66447696,34;71296702,62;73500253,97;72326997,22;74357177,37;76921920,35;77611767,45;73143840,17;74432294,44;75626083,99;68078658,52;65403207,04;69170740,26;70582791,42;68687255,85;72002664,25;72292864,03;75998102,20;77378527,94;63363805,63;79849498,31;71144433,99;71856611,21;66668330,50;59781260,13;68852136,49;68110495,41;77762525,08;73544393,88;78992474,73;75700208,98;77349074,02;74042709,84;74623388,17;67497943,15;72661930,42;65687503,59;71063000,34;72644832,24;71724449,56;74315098,93;72733515,29;77204872,00;76780849,74;73454094,63;75764166,17;72145854,68;73559059,00;73197372,45;69754786,04;77620223,38;76495350,19;74900472,52;83352037,05;82361662,71;78861072,61;84405884,53;77299965,84;74534621,54;77898102,54;75118627,35;84804884,75;68149969,54;67679373,25;71033137,72;83517180,08;85507145,76;86919096,33;97686852,96;90632492,40;93158371,98;99932831,62;93275970,54;112219335,63;121230292,52;123590631,87;126854252,65;128568948,85;114865242,94;11066891191,48
"50 Mato Grosso do Sul";4202791,30;5493733,04;6662437,49;6987293,98;7775030,02;8682203,09;8173527,67;7673336,42;8117295,26;7611421,38;7548991,89;6595482,42;7941963,69;8584383,26;8610032,62;8653002,59;9602809,94;9695738,01;9738939,87;8935937,77;9620560,09;9374647,21;8566727,11;8403567,68;9707570,40;8907936,69;9476934,88;9085448,13;9821314,26;9846136,17;9522942,79;9848202,57;9917150,49;9868320,02;9778554,00;9676606,07;8733960,60;7574154,17;10764176,45;9994921,53;9998872,80;9819072,08;9813659,36;9423662,25;11210707,02;8390510,97;10216565,95;10445421,96;8895843,88;8256373,95;9370592,91;9557964,98;9709394,91;10297876,94;10349080,40;10702836,84;11260570,22;9658632,54;10334920,39;10381563,58;10053695,99;10610379,69;10185824,84;9793898,66;11142572,53;11024551,55;12493488,27;11718217,32;11239292,44;11828083,07;10846695,04;10781571,45;11159433,33;11635991,37;11225753,55;10918476,08;11689504,61;11014477,60;11400969,49;12155761,33;11543184,79;11413087,73;11156153,36;11038122,71;11325484,31;12099521,29;12881792,03;11134143,94;13303294,42;12583477,98;12368044,06;12337739,92;12832288,28;11921266,17;11408542,27;11632527,94;12820141,65;12433163,24;12667671,94;12420856,72;12451927,45;12191810,78;12762764,18;13058631,52;12610841,42;12303700,36;12092403,30;12521842,07;12661667,84;11714105,82;13511271,94;11799904,94;13329508,12;12221894,16;13421784,82;13486072,58;13844257,54;12110352,31;12929901,44;11877147,03;12801779,45;14415451,44;12921072,08;13082773,56;13772112,64;13656361,65;13284017,99;12954680,80;13616025,64;12788277,00;12810991,00;12004230,81;13322319,43;13851592,52;13264650,95;14258436,52;13906853,30;14247035,35;15570544,47;14874630,15;15344779,92;14832702,26;13594692,38;14037256,62;14246207,18;15405300,78;15008069,69;13827373,08;14162839,88;13717741,83;15042408,33;15918478,15;15543779,55;15822297,51;17707030,40;15867272,24;17705025,71;20353010,66;21193045,76;21929202,49;23613691,60;28072458,03;25831953,20;30064692,74;1961256386,27
"51 Mato Grosso";3699820,62;6947298,88;6260555,65;6982680,50;7352779,09;8168124,98;7263099,74;7335715,95;7215375,16;7686090,00;5486071,23;8253881,91;7859331,56;7360326,41;9564490,76;8951859,46;9673730,35;9273686,17;9346155,73;9498448,98;8593858,26;9747573,09;9233567,00;8564038,63;10051859,85;9074378,20;9534127,80;9764609,15;10127349,98;8927659,92;10232279,86;10276982,34;9732065,31;9550932,15;9350830,47;8854889,69;9395352,07;8876578,16;9766343,55;9834666,47;9065331,13;9057726,03;9524739,55;7769386,27;9784459,88;9658596,43;10153962,34;9148437,42;8091434,77;8734616,92;10083592,07;10161381,01;9909674,48;10913796,73;10177738,19;10653115,67;10372147,80;9573348,56;10119042,34;9804054,66;9843027,44;9600401,79;10459990,93;10229151,87;10262791,79;11231755,80;10034586,84;11338434,66;10377477,17;9912346,38;10918249,38;10573756,65;9720715,45;10337687,01;10585502,99;11311839,21;10868829,19;11094776,40;11724329,17;11873572,51;11214500,53;10460911,37;11628736,17;10726464,76;10475972,20;11027814,21;11312361,77;11487342,39;11611036,23;12146376,74;12370235,57;11856707,80;12068688,26;11570665,64;11690455,11;11353673,41;11837455,73;10961891,54;12444094,15;11976663,99;12546671,71;12645945,02;12517668,47;12612683,87;12479606,58;12436625,65;12325589,19;11098451,56;11248702,22;11325836,41;11914086,50;12461150,97;13320438,61;12306993,69;13044534,32;12885800,66;12731050,80;12898480,13;12275718,17;11760235,81;13939862,74;11847355,69;13978315,14;12978282,06;12829170,00;12678633,90;13729724,73;12434957,69;12401330,10;12668808,12;11805260,70;10994190,91;11384212,22;12277875,67;12851645,07;12701898,67;12797624,34;13405136,58;13074804,73;13352388,17;12417520,09;12609361,45;12666600,36;11997368,22;12177445,04;12023792,71;11845679,47;9873755,65;10727259,57;10523517,49;13553255,98;15990537,98;16876200,51;18541915,10;16849403,95;16177439,79;15722113,88;15439364,25;19724142,09;25452606,99;26198280,69;27166070,24;31563495,01;30415136,69;1886447328,30
"52 Goiás";12595871,36;18272185,92;17557526,13;17122778,66;17664872,83;14959627,61;16769876,97;16851786,28;16993531,79;16858881,91;13942650,58;17774473,78;16908368,31;18914876,49;19104578,67;19200034,59;19559833,60;19881878,83;20093849,81;19949739,75;20693262,73;20168487,05;20043022,20;20793459,84;19037494,15;19168952,26;20701351,83;19984587,51;20411920,70;20325961,87;21053320,73;22288898,24;21969302,39;20397888,46;20928868,81;20484174,47;20566545,61;21392010,45;23513006,21;22716514,18;22261691,08;21452506,34;22045910,32;22440609,92;23219011,35;22058618,14;21960862,89;21547731,23;20849139,32;22159559,47;23208720,32;22449654,63;23012336,12;22041294,66;22362540,09;22407583,93;21852548,53;22220753,65;24193067,45;22475296,34;22523705,14;22985467,37;22918077,77;26789765,64;26346611,13;24407393,06;25979656,05;25731134,78;25344699,44;24400591,68;26298853,43;24588914,76;25295694,24;23837507,41;24069839,74;25466093,38;26657927,84;25295854,43;26768746,78;26563594,71;26063919,58;29053975,64;26602028,40;26944718,60;26305113,37;25030814,97;28971326,85;28321273,74;27626495,32;27270371,55;27292008,42;27228352,71;27497936,11;27124532,60;29022276,79;26580809,91;26078970,59;26447627,77;28240651,74;26653982,11;26038800,87;28382314,47;25934641,46;29517269,77;27345225,17;25967871,84;25439724,75;26495351,21;25331027,85;25319482,06;27159576,52;28764543,80;28357601,75;27524383,21;27234449,84;28060517,53;28194965,69;27150486,80;27089446,01;27066061,74;26294726,75;23733102,01;28399831,92;26440534,54;26654073,71;28406590,10;28049880,77;27205643,60;27069116,48;27459950,19;26740639,17;28821558,16;28339605,48;26665436,61;29240009,83;28698945,45;30272291,94;29890550,25;29985414,97;30333019,90;30201183,80;29912396,21;28541719,30;28078132,14;29021283,11;28077964,65;27913317,76;25161329,79;28076646,03;29441576,73;33131714,31;37929519,65;36738357,20;37149654,58;35109560,79;36226041,30;37971460,97;36216469,69;47521002,10;51005945,99;48135945,46;53332441,94;59021540,45;56936003,77;4252388876,78
"53 Distrito Federal";3720571,62;5939369,45;7541699,78;8767398,66;10275163,09;10085818,40;9878548,68;10767638,84;10540876,84;11893485,55;8936321,67;11447559,94;9784979,37;8090416,03;10897329,91;10286257,87;11780430,27;12560641,68;11098670,29;11923492,56;11431353,76;11684163,72;11150821,74;9624104,29;11231213,45;10148055,25;11575633,13;11254560,95;10956128,25;10244971,31;10660127,24;11438223,49;10704258,17;10356508,40;10971096,62;10844968,12;10680577,08;9734014,64;10547646,91;12819875,20;12422088,32;10484287,39;11397539,02;10243260,29;10904333,09;12016790,10;10012645,57;10470157,33;11463529,32;11460646,37;11642407,40;12158279,34;12052425,55;11721584,90;12936424,85;11694929,33;10557980,98;11250079,33;11081740,07;10097909,38;10579615,63;13201724,28;12950358,77;12148476,63;13286385,12;11257863,01;12996515,79;13527251,11;11676389,39;11412211,16;11684848,04;10193490,46;11687270,75;11446556,47;11847043,69;10583206,38;13120429,94;12617418,24;13271145,57;14071758,41;11777127,92;11672445,69;11440089,89;10458564,91;9768433,59;9470970,50;12282902,43;12668301,38;12085978,06;12149635,53;12833835,27;12049638,20;12298437,72;9806450,25;11990981,83;11642685,31;11470529,06;10522357,87;13530849,46;13526561,30;14522575,94;14496171,20;12512362,46;14958810,11;11509521,36;12524303,71;14164197,20;14247324,21;14105777,52;14088472,74;14591646,09;13380382,64;12362480,33;11682225,53;11876565,26;13317839,15;14700174,78;14191140,21;14451051,13;13492649,25;13644079,38;14364500,32;16162536,74;16421325,19;16251154,59;17136592,25;17741660,93;18686277,99;16269533,18;14835213,24;13248956,17;11227918,90;16269117,68;14775080,57;17686779,10;14840331,97;16260242,51;16156487,44;17848632,31;18786129,09;14310823,43;14257320,11;15982208,95;15165944,54;18147850,03;16677634,74;18516289,98;17402959,32;15364340,51;18534637,54;20736835,31;21945349,88;16382732,24;17037748,09;16673335,74;18746801,99;19240883,64;18602073,54;26173670,80;31795423,51;25894584,31;25091016,07;24260713,04;22230655,33;2176310798,17
"Total";328082454,90;494348509,57;534232631,77;552281185,20;575262027,17;605104921,89;615845352,49;603924497,08;605448494,68;588448041,83;536922438,73;623821725,82;604626340,52;608979955,39;676153989,97;663574426,93;696743396,23;686814221,17;710282205,02;722181196,37;703732310,32;705820367,74;699745189,47;677977408,11;686522540,09;649739840,18;715432322,70;726001374,16;734923983,91;716626955,06;733682364,16;750992185,47;731122227,13;722134679,51;739408097,19;725626467,19;712875918,29;703608772,14;741922190,29;747597515,46;753575912,47;746363630,72;780929967,40;762979090,56;765176835,46;767652310,98;757546794,35;752420214,03;730186732,43;715562173,84;786422237,63;760474908,31;799331081,54;789442756,27;805277055,31;812030244,15;779715390,23;785719722,92;772889984,93;728658957,95;773686198,91;757191629,90;804391784,79;847571694,34;867196976,15;833661137,72;879191959,59;881829011,68;865397680,83;881941964,69;842111769,92;822353028,58;850544637,20;824361719,85;832316826,16;847110058,65;903054736,50;874023949,87;924694213,09;929945894,38;917099662,30;921482254,89;887599646,84;849633165,33;869985562,24;839709636,95;902249707,11;901749812,49;922249569,90;929291041,97;952619522,69;945736105,14;933725069,33;917397628,63;909151891,90;881219774,39;878280282,44;875214513,75;927029701,15;920424105,67;940550879,68;961075048,28;967808311,56;981365117,69;936751921,53;934963132,30;908152022,74;919749555,38;912353990,70;874552350,32;967171487,30;925796963,34;1002207874,84;963445558,20;997958382,39;1006801000,02;981026958,82;991227301,46;970325462,39;949813827,09;970563972,38;922542940,65;990702315,34;1004415469,78;1016152683,85;1012033930,99;1034743132,71;1048705606,16;1010922011,88;1026865645,19;992548123,69;964746688,52;1032164660,94;977566102,84;1014479226,22;1035658128,79;1078602840,74;1039629086,44;1091151143,25;1099857865,55;1066837756,07;1103185833,39;1050449172,01;1022290843,89;1067264834,63;1031879492,96;1031664298,52;893301120,14;967041846,93;1047100544,19;1212311397,56;1236702518,06;1203451124,68;1211885365,63;1195234768,04;1183298704,73;1259627494,07;1265449047,58;1470867481,64;1614279578,51;1709063830,43;1783882659,45;1760217503,96;1556897989,89;146236686179,59
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
